iter	Passed	Remaining
1256	22516	156612
1257	22534	156595
1258	22551	156570
1259	22568	156546
1260	22587	156535
1261	22608	156542
1262	22627	156527
1263	22645	156511
1264	22663	156491
1265	22680	156470
1266	22697	156448
1267	22716	156434
1268	22734	156421
1269	22751	156396
1270	22770	156381
1271	22792	156394
1272	22810	156376
1273	22829	156367
1274	22848	156352
1275	22865	156333
1276	22883	156310
1277	22900	156290
1278	22917	156268
1279	22934	156244
1280	22952	156220
1281	22975	156238
1282	22992	156217
1283	23010	156198
1284	23028	156179
1285	23046	156164
1286	23065	156153
1287	23083	156138
1288	23102	156123
1289	23119	156104
1290	23137	156081
1291	23159	156092
1292	23177	156075
1293	23194	156050
1294	23211	156030
1295	23228	156006
1296	23246	155986
1297	23264	155968
1298	23281	155945
1299	23299	155930
1300	23317	155909
1301	23340	155928
1302	23359	155914
1303	23376	155890
1304	23394	155876
1305	23412	155856
1306	23429	155830
1307	23446	155810
1308	23464	155788
1309	23481	155767
1310	23499	155748
1311	23521	155756
1312	23539	155741
1313	23557	155721
1314	23573	155695
1315	23591	155677
1316	23609	155655
1317	23627	155639
1318	23645	155619
1319	23662	155601
1320	23679	155577
1321	23701	155581
1322	23719	155565
1323	23737	155549
1324	23755	155529
1325	23773	155515
1326	23792	155502
1327	23810	155485
1328	23829	155475
1329	23848	155460
1330	23865	155440
1331	23886	155441
1332	23909	155459
1333	23929	155453
1334	23948	155440
1335	23969	155440
1336	23987	155427
1337	24007	155421
1338	24027	155412
1339	24048	155420
1340	24077	155469
1341	24102	155500
1342	24125	155514
1343	24152	155552
1344	24174	155562
1345	24195	155560
1346	24214	155548
1347	24232	155535
1348	24258	155566
1349	24280	155572
1350	24300	155569
1351	24320	155567
1352	24344	155587
1353	24366	155590
1354	24388	155602
1355	24408	155595
1356	24429	155595
1357	24455	155630
1358	24477	155634
1359	24496	155627
1360	24520	155647
1361	24553	155719
1362	24572	155706
1363	24589	155687
1364	24607	155666
1365	24633	155702
1366	24651	155681
1367	24669	155666
1368	24687	155645
1369	24706	155633
1370	24723	155606
1371	24740	155583
1372	24757	155556
1373	24776	155547
1374	24800	155567
1375	24829	155617
1376	24853	155633
1377	24870	155610
1378	24887	155585
1379	24904	155565
1380	24925	155561
1381	24944	155549
1382	24965	155548
1383	24984	155537
1384	25009	155561
1385	25026	155542
1386	25060	155623
1387	25100	155738
1388	25139	155847
1389	25158	155840
1390	25182	155854
1391	25205	155868
1392	25225	155859
1393	25243	155840
1394	25260	155817
1395	25277	155793
1396	25296	155779
1397	25313	155755
1398	25331	155738
1399	25348	155711
1400	25365	155685
1401	25384	155673
1402	25402	155658
1403	25421	155640
1404	25438	155616
1405	25455	155592
1406	25473	155576
1407	25491	155555
